name,description,domain,eligibility,location,contact,url
Förderung im Rahmen des Programms „Kunst & KI“,Förderrichtlinien der Kulturstiftung des Bundes Gültig ab dem 12.07.2024,"Kultur, Medien & Sport",Verband/Vereinigung,bundesweit,"Name: Kulturstiftung des Bundes (KSB), Email: info@kulturstiftung-bund.de, Phone: Tel: +49 345 2997-0, Address: 06110 Halle an der Saale",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/KultStiftBund/kunst-und-ki.html
Förderung von Projekten zum Thema „Anwendung von Künstlicher Intelligenz (KI) in der Wirkstoffforschung“,Richtlinie zur Förderung von Projekten zum Thema „Anwendung von Künstlicher Intelligenz (KI) in der Wirkstoffforschung“ vom: 19.02.2025 Bundesministerium für Bildung und Forschung BAnz AT 03.03.2025 B5,"Forschung & Innovation (themenspezifisch), Gesundheit & Soziales","Hochschule, Forschungseinrichtung, Unternehmen, Verband/Vereinigung",bundesweit,"Name: Projektträger Jülich (PtJ), Email: ptj@fz-juelich.de, Phone: Tel: +49 2461 61-2626, Address: 52425 Jülich",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMBF/anwendung-ki-wirkstoffforschung.html
"NEXT.IN.NRW – Innovative Ideen, Dienstleistungen und Produkte aus Kultur, Medien, Kreativwirtschaft, KI und IKT","Wenn Sie innovative Vorhaben zur Entwicklung innovativer, marktreifer und nachhaltiger Produkte und Dienstleistungen im Kultur- und Kreativbereich sowie im Bereich der Informationstechnologien umsetzen wollen, können Sie unter bestimmten Voraussetzungen einen Zuschuss erhalten.","Digitalisierung, Forschung & Innovation (themenspezifisch)","Forschungseinrichtung, Hochschule, Kommune, Öffentliche Einrichtung, Unternehmen, Verband/Vereinigung",Nordrhein-Westfalen,"Name: Innovationsförderagentur NRW (IN.NRW), Email: next.in.nrw@fz-juelich.de, Phone: Tel: 02461 6196596, Address: 52425 Jülich",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Land/NRW/next-in-nrw.html
Förderung von „Wissenschaftlichen Voruntersuchungen“ zur Zukunft der Wertschöpfung in Deutschland (wiVoWert),Richtlinie zur Förderung von „Wissenschaftlichen Voruntersuchungen“ zur Zukunft der Wertschöpfung in Deutschland vom: 05.06.2024 Bundesministerium für Bildung und Forschung BAnz AT 04.07.2024 B7,"Forschung & Innovation (themenspezifisch), Arbeit","Forschungseinrichtung, Hochschule",bundesweit,"Name: Projektträger Karlsruhe (PTKA), Email: info@ptka.kit.edu, Phone: Tel: +49 721 608-25281, Address: 76344 Eggenstein-Leopoldshafen",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMBF/zukunft-wertschoepfung-deutschland.html
Förderung von interdisziplinären Pilotprojekten zum Thema „Neurobiologisch inspirierte Künstliche Intelligenz“,Richtlinie zur Förderung von interdisziplinären Pilotprojekten zum Thema „Neurobiologisch inspirierte Künstliche Intelligenz“ vom: 25.11.2024 Bundesministerium für Bildung und Forschung BAnz AT 04.12.2024 B5,Forschung & Innovation (themenspezifisch),"Forschungseinrichtung, Hochschule, Unternehmen",bundesweit,"Name: DLR Projektträger, Email: ge@dlr.de, Phone: Tel: +49 0228 3821-1210, Address: 53227 Bonn",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMBF/bmbf-neurobiologisch-inspirierte-ki.html
Förderung von Projekten zum Thema „Mathematik für Innovationen“ als Beitrag zur Methodenentwicklung im Umgang mit Herausforderungen in der Medizin,Richtlinie zur Förderung von Projekten zum Thema „Mathematik für Innovationen“ als Beitrag zur Methodenentwicklung im Umgang mit Herausforderungen in der Medizin vom: 20.12.2024 Bundesministerium für Bildung und Forschung BAnz AT 16.01.2025 B5  Die Frist zur Einreichung von Projektskizzen endete am 14.03.2025.,Forschung & Innovation (themenspezifisch),"Forschungseinrichtung, Hochschule",bundesweit,"Name: DESY Projektträger, Email: pt@desy.de, Phone: Tel: +49 40 8998-3702, Address: 22607 Hamburg",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMBF/bmbf_mathematik_fuer_innovationen.html
"Förderung von Projekten zur Umsetzung von 6G: Nachhaltige, resiliente und intelligente Vernetzung für Gesellschaft und Wirtschaft","Bekanntmachung der Richtlinie zur Förderung von Projekten zum Thema „6G in die Anwendung bringen – Nachhaltige, resiliente und intelligente Vernetzung für Gesellschaft und Wirtschaft“ im Rahmen des Forschungsprogramms Kommunikationssysteme „Souverän. Digital. Vernetzt.“  vom: 13.08.2024 BAnz AT 21.08.2024 B4  Die Frist zur Einreichung von Projektskizzen endet am 15.12.2025.","Digitalisierung, Forschung & Innovation (themenspezifisch), Mobilität, Infrastruktur, Regionalförderung, Gesundheit & Soziales","Forschungseinrichtung, Hochschule, Unternehmen, Verband/Vereinigung",bundesweit,"Name: VDI/VDE Innovation + Technik GmbH, Email: vdivde-it@vdivde-it.de, Phone: Tel: +49 30 310078-0, Address: 10623 Berlin",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMBF/projekte-zum-thema-6-g-in-die-anwendung-bringen.html
Förderung von selbständigen Forschungsgruppen im Förderschwerpunkt „Zukunft eHealth“,Richtlinie zur Förderung von selbständigen Forschungsgruppen im Förderschwerpunkt „Zukunft eHealth“ vom: 06.01.2025 Bundesministerium für Bildung und Forschung BAnz AT 15.01.2025 B3,Forschung & Innovation (themenspezifisch),Hochschule,bundesweit,"Name: DLR Projektträger, Email: ge@dlr.de, Phone: Tel: +49 228 3821-1210, Address: 53227 Bonn",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMBF/selbstaendige-forschungsgruppen-zukunft-ehealth.html
Förderung von Vorhaben der strategischen Projektförderung mit der Republik Korea unter der Beteiligung von Wirtschaft und Wissenschaft (2+2-Projekte) zu den Themen „Digitale Technologien in der roten Biotechnologie und Künstliche Intelligenz in der Biodiversitätsforschung“,"Bekanntmachung im Rahmen der Strategie der Bundesregierung zur Internationalisierung von Bildung, Wissenschaft und Forschung  Richtlinie zur Förderung von Vorhaben der strategischen Projektförderung mit der Republik Korea unter der Beteiligung von Wirtschaft und Wissenschaft (2+2-Projekte) zu den Themen „Digitale Technologien in der roten Biotechnologie und Künstliche Intelligenz in der Biodiversitätsforschung“ vom: 10.01.2025  Bundesministerium für Bildung und Forschung BAnz AT 27.01.2025 B4",Forschung & Innovation (themenspezifisch),"Forschungseinrichtung, Hochschule, Unternehmen",bundesweit,"Name: DLR Projektträger, Email: eiz@dlr.de, Phone: N/A, Address: 53227 Bonn",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMBF/bmbf_biotechnologie_ki_biodiversitaetsforschung.html
Förderung im Rahmen des GreenTech Innovationswettbewerbs – Digitale Technologien als Hebel für die Kreislaufwirtschaft auf Grundlage des Förderprogramms „Entwicklung digitaler Technologien“,GreenTech Innovationswettbewerb - Digitale Technologien als Hebel für die Kreislaufwirtschaft  Förderaufruf auf Grundlage des Förderprogramms „Entwicklung digitaler Technologien“,"Digitalisierung, Forschung & Innovation (themenspezifisch), Regionalförderung","Unternehmen, Forschungseinrichtung, Hochschule, Öffentliche Einrichtung, Verband/Vereinigung",bundesweit,"Name: Deutsches Zentrum für Luft- und Raumfahrt e. V. (DLR) DLR Projektträger; Digitale Technologien, Email: pt-foerderaufrufe@dlr.de, Phone: Tel: +49 228 3821-2643, Address: 51147 Köln",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMWi/greentech-innovationswettbewerb-862422.html
