name,description,domain,eligibility,location,contact,url
"Funding as part of the ""Art & AI"" program",Funding guidelines of the Federal Cultural Foundation Valid from 12.07.2024,"Culture, Media & Sport",Association/Union,Nationwide,"Name: Kulturstiftung des Bundes (KSB), Email: info@kulturstiftung-bund.de, Phone: Tel: +49 345 2997-0, Address: 06110 Halle an der Saale",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/KultStiftBund/kunst-und-ki.html
"Funding for projects on the topic of ""Application of artificial intelligence (AI) in drug discovery""","Guideline for the funding of projects on the topic of ""Application of artificial intelligence (AI) in drug discovery"" dated: 19.02.2025 Federal Ministry of Education and Research BAnz AT 03.03.2025 B5","Research & Innovation (topic-specific), Health & Social Affairs","University, research institution, company, association/association",Nationwide,"Name: Projektträger Jülich (PtJ), Email: ptj@fz-juelich.de, Phone: Tel: +49 2461 61-2626, Address: 52425 Jülich",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMBF/anwendung-ki-wirkstoffforschung.html
"NEXT.IN.NRW - Innovative ideas, services and products from culture, media, creative industries, AI and ICT","If you want to implement innovative projects for the development of innovative, marketable and sustainable products and services in the cultural and creative sector and in the field of information technologies, you can receive a grant under certain conditions.","Digitalization, research & innovation (topic-specific)","Research institution, university, municipality, public institution, company, association/association",North Rhine-Westphalia,"Name: Innovationsförderagentur NRW (IN.NRW), Email: next.in.nrw@fz-juelich.de, Phone: Tel: 02461 6196596, Address: 52425 Jülich",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Land/NRW/next-in-nrw.html
"Promotion of ""preliminary scientific studies"" on the future of value creation in Germany (wiVoWert)","Guideline for the funding of ""preliminary scientific studies"" on the future of value creation in Germany dated: 05.06.2024 Federal Ministry of Education and Research BAnz AT 04.07.2024 B7","Research & Innovation (topic-specific), Labor","Research institution, university",Nationwide,"Name: Projektträger Karlsruhe (PTKA), Email: info@ptka.kit.edu, Phone: Tel: +49 721 608-25281, Address: 76344 Eggenstein-Leopoldshafen",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMBF/zukunft-wertschoepfung-deutschland.html
"Promotion of interdisciplinary pilot projects on the topic of ""Neurobiologically inspired artificial intelligence""","Guideline for the funding of interdisciplinary pilot projects on the topic of ""Neurobiologically inspired artificial intelligence"" dated: 25.11.2024 Federal Ministry of Education and Research BAnz AT 04.12.2024 B5",Research & Innovation (topic-specific),"Research institution, university, company",Nationwide,"Name: DLR Projektträger, Email: ge@dlr.de, Phone: Tel: +49 0228 3821-1210, Address: 53227 Bonn",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMBF/bmbf-neurobiologisch-inspirierte-ki.html
"Promotion of projects on the topic of ""Mathematics for innovation"" as a contribution to the development of methods for dealing with challenges in medicine","Guideline for the funding of projects on the topic of ""Mathematics for Innovation"" as a contribution to the development of methods for dealing with challenges in medicine dated: 20.12.2024 Federal Ministry of Education and Research BAnz AT 16.01.2025 B5 The deadline for submitting project outlines was 14.03.2025.",Research & Innovation (topic-specific),"Research institution, university",Nationwide,"Name: DESY Projektträger, Email: pt@desy.de, Phone: Tel: +49 40 8998-3702, Address: 22607 Hamburg",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMBF/bmbf_mathematik_fuer_innovationen.html
"Promotion of projects to implement 6G: Sustainable, resilient and intelligent networking for society and the economy","Announcement of the guideline for funding projects on the topic ""Bringing 6G into application - Sustainable, resilient and intelligent networking for society and the economy"" as part of the research program Communication Systems ""Sovereign. Digital. Networked.""  dated: 13.08.2024 BAnz AT 21.08.2024 B4 The deadline for submitting project outlines is 15.12.2025.","Digitalization, research & innovation (topic-specific), mobility, infrastructure, regional development, health & social affairs","Research institution, university, company, association/association",Nationwide,"Name: VDI/VDE Innovation + Technik GmbH, Email: vdivde-it@vdivde-it.de, Phone: Tel: +49 30 310078-0, Address: 10623 Berlin",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMBF/projekte-zum-thema-6-g-in-die-anwendung-bringen.html
"Funding for independent research groups in the ""Future eHealth"" funding priority","Guideline for the funding of independent research groups in the ""Future eHealth"" funding priority dated: 06.01.2025 Federal Ministry of Education and Research BAnz AT 15.01.2025 B3",Research & Innovation (topic-specific),University,Nationwide,"Name: DLR Projektträger, Email: ge@dlr.de, Phone: Tel: +49 228 3821-1210, Address: 53227 Bonn",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMBF/selbstaendige-forschungsgruppen-zukunft-ehealth.html
"Promotion of strategic project funding with the Republic of Korea with the participation of industry and science (2+2 projects) on the topics of ""Digital technologies in red biotechnology and artificial intelligence in biodiversity research""","Announcement as part of the Federal Government's strategy for the internationalization of education, science and research Guideline for the funding of strategic project funding with the Republic of Korea with the participation of industry and science (2+2 projects) on the topics of ""Digital technologies in red biotechnology and artificial intelligence in biodiversity research"" dated: 10.01.2025 Federal Ministry of Education and Research BAnz AT 27.01.2025 B4",Research & Innovation (topic-specific),"Research institution, university, company",Nationwide,"Name: DLR Projektträger, Email: eiz@dlr.de, Phone: N/A, Address: 53227 Bonn",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMBF/bmbf_biotechnologie_ki_biodiversitaetsforschung.html
"Funding as part of the GreenTech Innovation Competition - Digital technologies as a lever for the circular economy based on the ""Development of digital technologies"" funding program","GreenTech Innovation Competition - Digital technologies as a lever for the circular economy Call for funding based on the ""Development of digital technologies"" funding program","Digitalization, research & innovation (topic-specific), regional funding","Company, research institution, university, public institution, association/association",Nationwide,"Name: Deutsches Zentrum für Luft- und Raumfahrt e. V. (DLR) DLR Projektträger; Digitale Technologien, Email: pt-foerderaufrufe@dlr.de, Phone: Tel: +49 228 3821-2643, Address: 51147 Köln",https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMWi/greentech-innovationswettbewerb-862422.html
